Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
36wx7z7hXQ11EhYtfgEgM0,"6BEwwGiWuXadRmIfQU9NSt","Sky","Sky","M.E.M.O.",2022-08-26,224591,35,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"",0.642,0.705,10,-8.199,0,0.0389,0.00317,0.0384,0.0676,0.273,121.997,4
6bU9aYY97cCrzsx1IKdxZG,"27mWOSZjlpmtoqsRjRwQyu,58vAPzbpMZAVTHWA1KT68B","What U Doing","Roots","Dennis Cruz,Leo Wood",2021-10-29,229523,47,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"latin tech house",0.812,0.581,6,-12.115,0,0.0754,0.0167,0.666,0.0807,0.335,126.006,4
6gbcV35Fx1UG74mqXYCloC,"7ejF235eYuh8PlQDLaJy0N,3JX3pY7okkEyFnbtuELshV","All I Know","All I Know","PARIS,Pantheon",2022-02-11,314913,29,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"australian techno,deep techno,australian house",0.631,0.817,2,-9.993,1,0.042,0.0248,0.366,0.0955,0.0604,123.981,4
0I04jKhqWDv55sRz3LGLzh,"2rv8IrcIQiFKkdvQAgUTZj,3MkvptiOUwlGj7DyNbJfrY","Second Line","Second Line","Set Mo,Sumner",2023-02-09,251520,36,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"aussietronica,tassie indie",0.652,0.798,5,-7.224,1,0.0325,0.000708,0.0327,0.112,0.336,124.01,4
1jGkLUJCl46NmXIM6rUghn,"7wXTWO45lqpUejDkike0Gf,6wH6iStAh4KIaWfuhf0NYM","Estación Esperanza","Estación Esperanza","Sofia Kourtesis,Manu Chao",2022-01-17,316721,45,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"experimental house,latin alternative,world",0.548,0.671,9,-8.471,0,0.0374,0.000882,0.131,0.839,0.52,122.008,4
2aKi0hmZ7M5wVnd69RUEu7,"4S1EXenN3a8icOr9keFIG8,6ejyZKJqfU1trzNHiAA3Ro","Looking For The Light","Looking For The Light","Samuel Miller,Luxe Agoris",2023-02-24,177049,39,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"slap house",0.817,0.767,11,-6.005,0,0.0535,0.00436,0.56,0.0801,0.599,122.002,4
5L917TMJ8sIhEsuxQGjwH8,"2i5iThI7dEkgZVYAksSIFJ,041iTeoMIwXMlShuQPIVKo","Oxygen - Klangkarussell Remix","Oxygen (Klangkarussell Remix)","SIN,Klangkarussell",2021-10-13,739700,37,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"austrian pop,deep euro house",0.704,0.73,5,-7.925,0,0.0399,0.325,0.529,0.0806,0.0909,119.972,4
0TVcPTk3MMkT6WqkuatPSr,"5nPOO9iTcrs9k6yFffPxjH,72f5AR6hMeL3BwtcO7HqhS,5mIowAJMp7RKNheelruV5z","Impossible - &ME Remix","Impossible (&ME Remix)","Röyksopp,Alison Goldfrapp,&ME",2022-07-06,555573,54,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"downtempo,electronica,indietronica,neo-synthpop,trip hop,bath indie,deep disco house",0.729,0.844,1,-9.153,1,0.043,0.115,0.936,0.0914,0.0688,121.023,4
2dwU9cQumllxZFtXgautY4,"2loEsOijJ6XiGzWYFXMIRk,5AmmljbTOeKJcfoTd6QCd3,26WKgv73kRHD0gEDKD1i8j,2vGRgVlsY6BB9PyESPm6IH","The Dream (feat. Martina Camargo)","The Dream (feat. Martina Camargo)","Adam Port,Theus Mago,Keinemusik,Martina Camargo",2023-07-28,210156,52,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"deep disco house,dark disco,folclor afrocolombiano",0.859,0.689,11,-7.963,0,0.0877,0.102,0.0337,0.141,0.49,118.983,4
2DRUTKWuuWebFUXu6p1krH,"7nBJ5F2V7hDZE1hhKgqXM9,6kFJNl3ISQSkOq2iS0Lk53","Diving Into Minds - Club Mix","Diving Into Minds","Soichi Terada,Masalo",2022-05-27,387302,36,spotify:user:9hjs0wc0ej2iyigebuugtjwwk,2023-11-21T11:02:23Z,"japanese electronic,japanese house",0.747,0.579,8,-11.545,1,0.0569,0.033,0.891,0.1,0.466,125.018,4
